XCoord,YCoord,FID,COUNTY,TOWN,DEC_WELL_N,FOIL_LOC,LATITUDE,LONGITUDE,WELL_DEPTH,ROCK_DEPTH,GW_DEPTH,CASED_DEPT,SCR,YT_AVGDISC,REGNUMBER,DDLAT,DDLONG
602130.53823735,4714780.84683086,41,ALBANY,Bethlehem,A1267,VAN WIE POINT RD,42 34 43.3,73 45 19.7,462,17,40,40,N,7,NYRD10005,42.578694,-73.755472
594778.26311342,4710039.81839709,42,ALBANY,Bethlehem,A1408,RUPERT RD,42 32 13.0,73 50 45.0,485,256,66,271,N,3,NYRD10001,42.536944,-73.845833
593922.00660191,4717515.64617273,43,ALBANY,Bethlehem,A1425,VAN DYKE RD,42 36 15.7,73 51 18.1,220,160,160,160,N, ,NYRD10124,42.604361,-73.855028
600382.12663179,4716489.22462611,44,ALBANY,Bethlehem,A1469,HARTMAN RD,42 35 39.5,73 46 35.3,425,135, ,136,N,6,NYRD10002,42.594306,-73.776472
595671.70433155,4709774.38925993,45,ALBANY,Bethlehem,A1501,BRIDGE ST,42 32 04.0,73 50 06.0,382,165,60,180,N,3,NYRD10005,42.534444,-73.835000
593465.67668748,4709583.98949366,46,ALBANY,Bethlehem,A1550,BRIDGE ST,42 31 58.8,73 51 42.8,205,157,35,158,N,3,NYRD10186,42.533000,-73.861889
596619.83036392,4710012.69890611,47,ALBANY,Bethlehem,A1636,BRIDGE ST,42 32 11.3,73 49 24.3,290,-999,40,286,N,15,NYRD10002,42.536472,-73.823417
594999.78138153,4710024.32878633,48,ALBANY,Bethlehem,A1659,RUPERT RD,42 32 12.4,73 50 35.3,280,268,67.5,272,N,6,NYRD10005,42.536778,-73.843139
594989.52013074,4710107.48516605,49,ALBANY,Bethlehem,A1660,RUPERT RD,42 32 15.1,73 50 35.7,270,-999,55.400001526,265,N,10,NYRD10005,42.537528,-73.843250
595024.17159978,4711746.12457406,50,ALBANY,Bethlehem,A1666,ELM ST,42 33 08.2,73 50 33.2,362,-999,22.799999237,362,N,3,NYRD10005,42.552278,-73.842556
591960.15908700,4716452.80443382,51,ALBANY,Bethlehem,A1696,WALDENMAIER RD,42 35 42.1,73 52 44.8,220,68,47.930000305,73,N,14,NYRD10002,42.595028,-73.879111
593436.43625288,4722599.48258851,52,ALBANY,Bethlehem,A1725,MAHER RD,42 39 00.7,73 51 36.4,215,-999,80,215,N,6,NYRD10005,42.650194,-73.860111
601059.42779841,4710979.70503810,53,ALBANY,Bethlehem,A1751,DINMORE RD,42 32 40.6,73 46 09.1,320,5,20,38.5,N,10,NYRD10001,42.544611,-73.769194
594706.78216807,4712105.83232735,54,ALBANY,Bethlehem,A1760,HARRISON LN,42 33 20.0,73 50 46.9,265,-999, ,260,N,20,NYRD10119,42.555556,-73.846361
596622.66824600,4709972.63232923,55,ALBANY,Bethlehem,A1802,BRIDGE ST,42 32 10.0,73 49 24.2,500,292,60,299,N,1,NYRD10002,42.536111,-73.823389
600106.78689609,4708852.62194340,56,ALBANY,Bethlehem,A1859,N/A,42 31 32.1,73 46 52.2,405,49,60,75,N,2,NYRD10010,42.525583,-73.781167
594807.38291722,4721436.50187809,57,ALBANY,Bethlehem,A2032,MCCORMACK RD,42 38 22.4,73 50 36.9,214,-999,45,214,N,20,NYRD10005,42.639556,-73.843583
596144.34768660,4714368.41644839,58,ALBANY,Bethlehem,A2040,ELM AVE,42 34 32.7,73 49 42.5,300,45,28,45.5,N,2,NYRD10002,42.575750,-73.828472
596814.54698306,4712906.13036957,59,ALBANY,Bethlehem,A2112,JERICO RD,42 33 45.0,73 49 14.0,600,202,30,202,N,12,NYRD10124,42.562500,-73.820556
596842.69055646,4713341.52063620,60,ALBANY,Bethlehem,A2113,JERICO RD,42 33 59.1,73 49 12.5,200,-999, ,200,N,50,NYRD10124,42.566417,-73.820139
595518.06852454,4720773.70050627,61,ALBANY,Bethlehem,A2190,WRIGHT LN,42 38 00.6,73 50 06.1,405,288,80,291,N,2.5,NYRD10002,42.633500,-73.835028
599425.18319646,4715025.44081930,62,ALBANY,Bethlehem,A2297,WEMPLE RD,42 34 52.5,73 47 18.2,500,110,23.600000381,118,N,4,NYRD10005,42.581250,-73.788389
595961.52543061,4714233.23059206,63,ALBANY,Bethlehem,A2303,ELM ST,42 34 28.4,73 49 50.6,142,76,36,80,N,5,NYRD10005,42.574556,-73.830722
592525.21713331,4718863.57204849,64,ALBANY,Bethlehem,A2320,TURNBERRY DR,42 37 00.0,73 52 18.6,610,137,54,137,N,25,NYRD10031,42.616667,-73.871833
600009.53967629,4717668.54940442,65,ALBANY,Bethlehem,A826,JOLLY RD,42 36 17.9,73 46 50.9,300,120,28,120,N,1,NYRD10186,42.604972,-73.780806
595054.89479929,4709664.13012407,66,ALBANY,Bethlehem,A842,ORCHARD ST,42 32 00.7,73 50 33.1,162,147,20,147,N,10,NYRD10005,42.533528,-73.842528
599571.90703694,4713059.22518806,67,ALBANY,Bethlehem,A845,WEISHEIT RD,42 33 48.7,73 47 13.0,122,120,26,122,N,0,NYRD10004,42.563528,-73.786944
599657.02332515,4713007.99757178,68,ALBANY,Bethlehem,A846,WEISHEIT RD,42 33 47.0,73 47 09.3,407,179, ,187,N,0,NYRD10004,42.563056,-73.785917
594913.94842037,4711800.15056164,69,ALBANY,Bethlehem,A852,ELM ST,42 33 10.0,73 50 38.0,360,-999,100,359,N,25,NYRD10005,42.552778,-73.843889
594942.15671878,4711738.83435110,70,ALBANY,Bethlehem,A894,ELM ST,42 33 08.0,73 50 36.8,522,355,30,357,N,0.5,NYRD10005,42.552222,-73.843556
595324.45678743,4710139.83102417,71,ALBANY,Bethlehem,A896,SMITH AVE,42 31 76.0,73 50 21.0,133,130,61.5,128,Y,6,NYRD10186,42.537778,-73.839167
600692.43652061,4715682.31944729,72,ALBANY,Bethlehem,A958,SMULZ LN,42 35 13.2,73 46 22.2,100,66,30,67.5,N,5,NYRD10186,42.587000,-73.772833
598091.64425794,4717591.82167909,73,ALBANY,Bethlehem,A983,SAYBROOK DR,42 36 16.3,73 48 15.1,160,-999, ,160,N, ,NYRD10002,42.604528,-73.804194
595960.87797344,4702358.83312844,74,ALBANY,Coeymans,A1039,NOLAN RD,42 28 03.5,73 49 57.8,167,8,25,40,N,50,NYRD10076,42.467639,-73.832722
591681.61642398,4703674.09006302,75,ALBANY,Coeymans,A1063,BLOSSOM HILL RD,42 28 48.0,73 53 04.4,300,20, ,39,N,2,NYRD10133,42.480000,-73.884556
589796.14630820,4703439.77583273,76,ALBANY,Coeymans,A1124,STANTON RD,42 28 41.2,73 54 27.1,907,130,50,138,N,5,NYRD10076,42.478111,-73.907528
591650.85706189,4705839.34452274,77,ALBANY,Coeymans,A1216,N/A,42 29 58.2,73 53 04.5,420,68, ,72,N,7,NYRD10133,42.499500,-73.884583
597154.30335585,4708826.21471395,78,ALBANY,Coeymans,A1219,N/A,42 31 32.6,73 49 01.6,192,182, ,180,N,30,NYRD10016,42.525722,-73.817111
588021.88830236,4706144.23915731,79,ALBANY,Coeymans,A1242,N/A,42 30 09.6,73 55 43.3,360,2, ,40,N,2,NYRD10133,42.502667,-73.928694
599869.56180239,4708050.17050626,80,ALBANY,Coeymans,A1258,BLACKBURN RD,42 31 06.2,73 47 03.1,300,34, ,39,N,1.5,NYRD10133,42.518389,-73.784194
592118.46875464,4700681.25022946,81,ALBANY,Coeymans,A1357,POWELL HILL RD,42 27 10.8,73 52 47.0,500,1,100,38.5,N,2,NYRD10001,42.453000,-73.879722
596929.59717467,4706608.00331204,82,ALBANY,Coeymans,A1536,US RT 9W,42 30 20.8,73 49 12.8,402,140,88,158,N,6,NYRD10005,42.505778,-73.820222
588762.07911484,4700535.95282026,83,ALBANY,Coeymans,A1538,DEYO RD,42 27 07.5,73 55 14.0,1000,3,245,60,N,2,NYRD10005,42.452083,-73.920556
597634.45700323,4708107.93843065,84,ALBANY,Coeymans,A1554,RT 9W,42 31 09.1,73 48 41.0,310,-999,105,310,N,7,NYRD10002,42.519194,-73.811389
592675.20608877,4701077.32819296,85,ALBANY,Coeymans,A1595,BIECHMAN RD,42 27 23.4,73 52 22.4,602,55,291,58,N,5,NYRD10005,42.456500,-73.872889
593078.13876108,4702381.47067643,86,ALBANY,Coeymans,A1708,HANNACREEK RD,42 28 05.5,73 52 04.0,40,40,6,35,Y,12,NYRD10031,42.468194,-73.867778
590754.55791474,4702792.00153496,87,ALBANY,Coeymans,A1752,ST RT 143,42 28 19.8,73 53 45.5,340,60,50,78.5,N,8,NYRD10001,42.472167,-73.895972
599425.94912245,4706831.37729625,88,ALBANY,Coeymans,A1771,RT 144,42 30 26.9,73 47 23.3,502,45,45.75,48,N,4,NYRD10005,42.507472,-73.789806
589371.47311606,4704680.64051255,89,ALBANY,Coeymans,A1805,MUDD HILL RD,42 29 21.6,73 54 45.0,220,1,53,49,N,10,NYRD10186,42.489333,-73.912500
589999.95550004,4707637.95889637,90,ALBANY,Coeymans,A1806,BIERS RD,42 30 57.2,73 54 15.8,266,11,22,39.5,N,7,NYRD10525,42.515889,-73.904389
588818.46713426,4704001.05350654,91,ALBANY,Coeymans,A1807,WHITBECK RD,42 28 59.8,73 55 09.6,117,-999,39,86,N,5.5,NYRD10027,42.483278,-73.919333
592115.62282741,4701069.91894977,92,ALBANY,Coeymans,A1816,POWELL HILL RD,42 27 23.4,73 52 46.9,600,120, ,128,N, ,NYRD10124,42.456500,-73.879694
591532.21864019,4708959.80085650,93,ALBANY,Coeymans,A1867,BLODGETT HILL RD,42 31 39.4,73 53 07.9,342,45,81,58,N,10,NYRD10005,42.527611,-73.885528
596913.39750957,4708427.96738797,94,ALBANY,Coeymans,A1884,MILLER RD,42 31 19.8,73 49 12.4,140,-999,30.799999237,140,N,30,NYRD10005,42.522167,-73.820111
595734.34456622,4701556.69939616,95,ALBANY,Coeymans,A1910,AQUETUCK RD,42 27 37.6,73 50 08.2,282,12,85,38,N,6,NYRD10005,42.460444,-73.835611
588185.90670840,4705810.05409459,96,ALBANY,Coeymans,A1946,LINDSKOOG RD,42 29 58.7,73 55 36.3,320,2,142,38,N,10,NYRD10124,42.499639,-73.926750
599598.52283246,4706735.11953478,97,ALBANY,Coeymans,A2039,RIVER RD,42 30 23.7,73 47 15.8,502,10,30,48,N,8,NYRD10005,42.506583,-73.787722
598348.99417099,4705344.50554144,98,ALBANY,Coeymans,A2090,RT 9W,42 29 39.2,73 48 11.4,139,139,44,139,Y,105,NYRD10233,42.494222,-73.803167
594126.53825005,4702886.05514319,99,ALBANY,Coeymans,A2182,FARES RD,42 28 21.4,73 51 17.8,320,14,50,39,N,10,NYRD10055,42.472611,-73.854944
597862.07328169,4707176.35451920,100,ALBANY,Coeymans,A2318,OLD RAVENA RD,42 30 38.8,73 48 31.6,185,-999,85,185,N,50,NYRD10005,42.510778,-73.808778
595494.88375900,4701861.91969254,101,ALBANY,Coeymans,A804,RT 143,42 27 47.6,73 50 18.5,200,5,100,39,N,15,NYRD10002,42.463222,-73.838472
593494.00024585,4705944.04286273,102,ALBANY,Coeymans,A810,BUSHENDORF RD,42 30 00.8,73 51 43.7,400,12,382,20,N,0,NYRD10124,42.500222,-73.862139
596735.80315405,4708891.34311353,103,ALBANY,Coeymans,A815,N/A,42 31 34.9,73 49 19.9,240,-999, , ,N, ,NYRD10133,42.526361,-73.822194
592208.45603114,4703551.46806777,104,ALBANY,Coeymans,A873,TOMPKINS RD,42 28 43.8,73 52 41.4,162,40,54.25,50,N,6.5,NYRD10186,42.478833,-73.878167
602594.00609200,4738238.59930671,105,ALBANY,Cohoes,A1438,WETHERBY CT,42 47 23.4,73 44 44.1,100,36,39,38,N,18,NYRD10002,42.789833,-73.745583
597036.14090190,4735474.02759599,106,ALBANY,Colonie,A1029,RT 7,42 45 56.4,73 48 50.4,200,92, ,93,N,3,NYRD10002,42.765667,-73.814000
599488.89258702,4734688.26762053,107,ALBANY,Colonie,A1108,TROY SCHENECTADY RD,42 45 29.8,73 47 03.0,100,60, ,60,N,0,NYRD10002,42.758278,-73.784167
598781.37898142,4736785.32508636,108,ALBANY,Colonie,A1232,RIVER RD,42 46 38.1,73 47 32.8,53,-999, ,53,N,5,NYRD10398,42.777250,-73.792444
594761.96496419,4731237.34930045,109,ALBANY,Colonie,A1295,CENTRAL AVE,42 43 40.1,73 50 33.0,623,60,300,70,N,2,NYRD10005,42.727806,-73.842500
590456.91927454,4734662.76089306,110,ALBANY,Colonie,A1385,SO KELLOGG AVE,42 45 33.0,73 53 40.3,300,80,30,92,N,5,NYRD10253,42.759167,-73.894528
600483.67829471,4730691.85640793,111,ALBANY,Colonie,A1619,TAPROBANE RD,42 43 19.8,73 46 21.8,70,65, ,58,N,0,NYRD10002,42.722167,-73.772722
601586.97953160,4738572.33088013,112,ALBANY,Colonie,A1713,ALIX RD,42 47 34.7,73 45 28.2,460,2, ,39,N,0.5,NYRD10002,42.792972,-73.757833
601287.28332549,4731582.87849268,113,ALBANY,Colonie,A1750,NEW LOUDON RD,42 43 48.3,73 45 45.9,740,40,9.6000003815,40,N,2,NYRD10119,42.730083,-73.762750
597257.79752880,4729899.10752658,114,ALBANY,Colonie,A1879,WOLF RD,42 42 55.6,73 48 44.1,20,-999,9,17,Y,15,NYRD10022,42.715444,-73.812250
598447.35135165,4736302.33995565,115,ALBANY,Colonie,A1912,RIVER RD,42 46 22.6,73 47 47.8,402,132,31.5,140,N,11,NYRD10005,42.772944,-73.796611
598434.11244216,4736274.38401470,116,ALBANY,Colonie,A1959,RIVERVIEW RD,42 46 21.7,73 47 48.4,112,-999,30.329999924,113,N,20,NYRD10027,42.772694,-73.796778
595877.71110765,4734427.38673226,117,ALBANY,Colonie,A2008,SHAKER RIDGE RD,42 45 23.0,73 49 42.0,300,72,33.970001221,73.5,N,5,NYRD10002,42.756389,-73.828333
602550.96020530,4730728.38301286,118,ALBANY,Colonie,A2089,MALOY CIRCLE,42 43 20.0,73 44 50.9,125,58,18,58,N,15,NYRD10002,42.722222,-73.747472
592929.86184329,4730811.40795063,119,ALBANY,Colonie,A2195,APOLLO DR,42 43 27.1,73 51 53.8,342,151,300,151,N,0,NYRD10005,42.724194,-73.864944
598655.22845996,4730338.49074111,120,ALBANY,Colonie,A2285,WINNERS CIRCLE,42 43 09.2,73 47 42.4,60,-999,4.5,38,Y,120,NYRD10002,42.719222,-73.795111
583375.06978453,4725645.59543395,121,ALBANY,Guilderland,A1001,MEADOWDALE RD,42 40 43.6,73 58 56.6,215,22,42,40,N,5,NYRD10236,42.678778,-73.982389
582343.35524972,4727798.90657701,122,ALBANY,Guilderland,A1005,HAWES RD,42 41 53.8,73 59 40.8,194,12,24,26,N,2.5,NYRD10027,42.698278,-73.994667
592683.65631306,4724054.79348303,123,ALBANY,Guilderland,A1012,KRUMKILL RD,42 39 48.2,73 52 08.6,241,-999,200,241,N, ,NYRD10004,42.663389,-73.869056
583266.69394970,4726329.15881425,124,ALBANY,Guilderland,A1062,MEADOWDALE RD,42 41 05.8,73 59 01.0,218,25, ,38.5,N,0,NYRD10027,42.684944,-73.983611
584875.58347758,4728205.87582066,125,ALBANY,Guilderland,A1075,RT 146,42 42 06.0,73 57 49.3,61,-999,19,41,Y, ,NYRD10004,42.701667,-73.963694
584847.90431122,4728236.38650499,126,ALBANY,Guilderland,A1076,RT 146,42 42 07.0,73 57 50.5,62,-999, ,42,Y, ,NYRD10004,42.701944,-73.964028
574133.48600922,4732040.37527364,127,ALBANY,Guilderland,A1083,FURBECK RD,42 44 14.3,74 05 39.6,255,-999,99,248,N,7,NYRD10027,42.737306,-74.094333
574900.28000020,4732209.06019376,128,ALBANY,Guilderland,A1142,FURBECK RD,42 44 19.5,74 05 05.8,99,56,58, ,N,5,NYRD10027,42.738750,-74.084944
583118.52700840,4726916.61137439,129,ALBANY,Guilderland,A1191,MEADOWDALE RD,42 41 24.9,73 59 07.2,20,-999,14,20,N,20,NYRD10398,42.690250,-73.985333
583378.51317985,4725170.54888911,130,ALBANY,Guilderland,A1199,MEADOWDALE RD,42 40 28.2,73 58 56.7,215,78,60,78,N,2.5,NYRD10231,42.674500,-73.982417
581832.09748907,4725426.66545919,131,ALBANY,Guilderland,A1207,N/A,42 40 37.1,74 00 04.5,20,-999,5.25,20,N,10,NYRD10004,42.676972,-74.001250
586537.90884785,4724098.70032606,132,ALBANY,Guilderland,A1229,DEPOT RD,42 39 52.2,73 56 38.5,136,129,84,127,N,109,NYRD10004,42.664500,-73.944028
582054.95574836,4724676.56995721,133,ALBANY,Guilderland,A1239,COMPOUND LN,42 40 12.7,73 59 55.1,68,-999,48.5,68,N,5,NYRD10027,42.670194,-73.998639
575043.03998646,4731208.00806848,134,ALBANY,Guilderland,A1248,WHIPPETT LN,42 43 47.0,74 05 00.0,26,-999,13,26,N,20,NYRD10227,42.729722,-74.083333
581880.83946791,4726309.54365081,135,ALBANY,Guilderland,A1250,GARDNER RD,42 41 05.7,74 00 01.9,119,10, ,19,N,0,NYRD10027,42.684917,-74.000528
580398.60031942,4732425.09676376,136,ALBANY,Guilderland,A1266,WESTERN TPK,42 44 24.5,74 01 03.9,334,103, ,105,N,0,NYRD10027,42.740139,-74.017750
581245.92983874,4728433.77917465,137,ALBANY,Guilderland,A1286,GARDNER RD,42 42 14.8,74 00 28.7,258,10,28.5,18.5,N,3,NYRD10027,42.704111,-74.007972
582420.80216319,4728938.19023853,138,ALBANY,Guilderland,A1293,WEAVER RD,42 42 30.7,73 59 36.8,405,30, ,39,N, ,NYRD10004,42.708528,-73.993556
586452.19023095,4726405.22707103,139,ALBANY,Guilderland,A1296,OSTRANDER RD,42 41 07.0,73 56 41.0,223,54,80,58,N,8,NYRD10005,42.685278,-73.944722
587068.62588435,4733119.85760922,140,ALBANY,Guilderland,A1322,DOBIE LN,42 44 44.4,73 56 10.2,20,-999,10.399999619,16.5,Y,9.6999998093,NYRD10201,42.745667,-73.936167
587068.85915136,4733101.35013155,141,ALBANY,Guilderland,A1327,DOBIE LN,42 44 43.8,73 56 10.2,23,-999,11.399999619,20,Y,10,NYRD10201,42.745500,-73.936167
587069.32568318,4733064.33517779,142,ALBANY,Guilderland,A1328,DOBIE LN,42 44 42.6,73 56 10.2,23,-999,11.800000191,20,Y,9.3999996185,NYRD10201,42.745167,-73.936167
583778.67416443,4732724.39643472,143,ALBANY,Guilderland,A1372,WEST OLD STATE RD,42 44 32.9,73 58 35.1,236,237,26,237,N,8,NYRD10027,42.742472,-73.976417
586961.30692916,4733155.52662131,144,ALBANY,Guilderland,A1395,DOBIE LN,42 44 45.6,73 56 14.9,23,-999,12.25,15,Y,10,NYRD10201,42.746000,-73.937472
586960.84096263,4733192.54157902,145,ALBANY,Guilderland,A1396,DOBIE LN,42 44 46.8,73 56 14.9,23,-999,9.9099998474,15,Y,10,NYRD10201,42.746333,-73.937472
580475.68379975,4726579.96775426,146,ALBANY,Guilderland,A1456,BRANDLE RD,42 41 15.0,74 01 03.5,300,-999,58,58,N,6,NYRD10398,42.687500,-74.017639
577888.10459473,4730209.10800936,147,ALBANY,Guilderland,A1464,WESTFALL RD,42 43 13.6,74 02 55.4,179,132,89,135,N,8,NYRD10027,42.720444,-74.048722
583365.43560169,4725500.48501217,148,ALBANY,Guilderland,A1480,MEADOWDALE RD,42 40 38.9,73 58 57.1,502,75,93.330001831,78,N,1.5,NYRD10005,42.677472,-73.982528
576722.41465709,4732148.84296732,149,ALBANY,Guilderland,A1481,SETTLES HILL RD,42 44 16.9,74 03 45.7,260,7,22,38.5,N,6,NYRD10027,42.738028,-74.062694
582447.09888079,4727685.99735461,150,ALBANY,Guilderland,A1482,HOWES RD,42 41 50.1,73 59 36.3,198,20, ,38.5,N, ,NYRD10027,42.697250,-73.993417
576800.91041353,4731838.13536602,151,ALBANY,Guilderland,A1568,SETTLES HILL RD,42 44 06.8,74 03 42.4,242,5,16,38,N,20,NYRD10005,42.735222,-74.061778
583481.17144996,4727605.84523159,152,ALBANY,Guilderland,A1622,MEADOWDALE RD,42 41 47.1,73 58 50.9,205,30, ,33,N, ,NYRD10004,42.696417,-73.980806
582714.07260188,4731048.74751335,153,ALBANY,Guilderland,A1690,RT 158,42 43 39.0,73 59 22.8,71,-999, ,67,Y,5,NYRD10119,42.727500,-73.989667
573968.09548401,4731983.07444354,154,ALBANY,Guilderland,A1712,FURBECK RD,42 44 12.5,74 05 46.9,528,177,122,180,N,3,NYRD10027,42.736806,-74.096361
